channel_id	mention_user	talk_id	talk_user
CJCN9CH43	UKY4VFB5E	985111e2-489b-472c-86cb-9f1d8f9fc6ef	UKY4VFB5E
CJCN9CH43	UKHMYQBEE	763c4c4b-886f-45e3-b261-fe014e26936f	UKHMYQBEE
CJCN9CH43	UKHMWSMBL	5b168415-0c89-49e8-8baf-1280f0c3f460	UKHMWSMBL
CJCN9CH43	UKX7JQRPY	0a5a64d8-d754-44f6-8492-73cdeb2c77ac	UKX7JQRPY
CJCN9CH43	UKTFMFCHJ	8bcba4e2-3c51-43c9-92f9-5fd11a567528	UKTFMFCHJ
CJCN9CH43	UKTRK6EE4	a14fc2c9-fc4c-4675-92cd-967e60c47ef0	UKTRK6EE4
CJCN9CH43	UKG6BDAPL	793f33fc-549d-4453-9de2-05afcc2c3750	UKG6BDAPL
CJCN9CH43	UKTGS35PA	9fce5b6f-1816-413c-86f7-dab36105af19	UKTGS35PA
CJCN9CH43	UKFPM8H35	57370225-17b9-4309-b0d0-7238f80555cb	UKFPM8H35
CJCN9CH43	UKT5WSVCY	3ecde111-17b5-49dc-ab0c-97ea38d168e6	UKT5WSVCY
CJCN9CH43	UKLQEKEV7	e52a19aa-a7bb-492e-84f6-3302ae33c462	UKLQEKEV7
CJCN9CH43	UKT5BQD3P	a975d96a-d29c-4508-ad32-daaf68ac7f18	UKT5BQD3P
CJCN9CH43	UKFNDDER1	21db65a9-e5a7-4a50-a5b1-1f7d7b40234b	UKFNDDER1
CJCN9CH43	UKFMDBUV9	db8e8c9b-e55c-4d51-b7b4-131059b9d568	UKFMDBUV9
CJCN9CH43	UKT3G90U8	c3a998c4-86e6-4373-a110-680659e35083	UKT3G90U8
CJCN9CH43	UKT3NHRM3	a0bdefe0-d2dc-4add-96f1-2f510eb48e78	UKT3NHRM3
CJCN9CH43	UKFLR3VHR	98750772-b438-4a4d-82e8-4bd83e1eb361	UKFLR3VHR
CJCN9CH43	UKEMYD9R8	60119a03-2db8-4dff-88d6-9a1167e3e980	UKEMYD9R8
CJCN9CH43	UKKMSRWJV	520b5189-fe2d-4add-a2a8-acc8f15e3c2b	UKKMSRWJV
CJCN9CH43	UKPRX1CCW	d7809cf6-7eba-4b2c-9008-c7cb062a958f	UKPRX1CCW
CJCN9CH43	ULFCZ8T0S	aea3037a-9b43-423f-9c34-ab003240e646	ULFCZ8T0S
CJCN9CH43	ULQU5MHA8	7c654944-109e-4765-a839-9de256520a15	ULQU5MHA8
CJCN9CH43	ULQ3D7T2Q	37988546-4817-4e7a-b134-d0f74b8cfed4	ULQ3D7T2Q
CJCN9CH43	ULJ74QZJM	a7193c03-a516-4eda-985d-98768e7372d3	ULJ74QZJM
CJCN9CH43	ULP67C97Z	cfe4ae61-4555-4c99-958d-ff311bc4c98c	ULP67C97Z
CJCN9CH43	UL2E25WP5	f17aed5a-f7a5-4558-adc8-e615d74343cb	UL2E25WP5
CJCN9CH43	UL2TY2ERL	538a9e39-bd37-494f-96ee-9c4da796caa9	UL2TSDLG6
CJCN9CH43	UL0NZCCMT	bd10a3d1-07ed-4172-b0d9-43973c6c8ba0	UJRAL005U
CJCN9CH43	UL3ME2AM7	7168784a-2106-4236-830d-8e5224bc5ba8	UL3ME2AM7
CJCN9CH43	UKW58LPUJ	8a22578c-32c1-48e6-b566-3660758abb25	UKW58LPUJ
CJCN9CH43	UKVLUHVMY	534426a7-ea69-4ab8-9ca0-deccfe72ab57	UKVLUHVMY
CJCN9CH43	UKVKXK17U	0473815d-a8e8-4ead-a107-a2f0a3bd66bc	UKVKXK17U
CJCN9CH43	UL70KNF4P	261b6c38-9d5c-4f6e-8dc7-7b75af2db920	UL70KNF4P
CJCN9CH43	UL559NJTZ	f5c26f69-706b-4af0-8319-c2adb0538e7d	UL559NJTZ
CJCN9CH43	UL39HGU72	d66915ac-d02f-4756-9bbb-2f3483daa083	UL39HGU72
CJCN9CH43	UL22NNXBP	231e6155-d7d4-43a9-8b02-50aab09705b0	UL22NNXBP
CJCN9CH43	UL3TC918X	5906ceaf-138e-4e48-ac4d-c0a7ac10c221	UL3TC918X
CJCN9CH43	UKQHVA4M8	827cde2b-8ec4-4cff-8cbd-b08fc67e0f8a	UKQHVA4M8
CJCN9CH43	UKQHU14D9	20301adc-3e49-41e2-83f7-4ddef7c0a13e	UKQHU14D9
CJCN9CH43	UL44C2ATY	a283b1d5-87bc-4388-8ce5-7e19e8c6dfed	UL44C2ATY
CJCN9CH43	UL0NZCCMT	c8b4312a-3596-49f4-b87e-63472c929e02	UJRAL005U
CJCN9CH43	UL4358W2J	8ae4697b-7e3a-4eda-8e7e-ab11d1e5dd89	UL4358W2J
CJCN9CH43	UKURQ1U73	e71ac301-58dc-411b-936c-7aa78250f4cb	UKURQ1U73
CJCN9CH43	UKPCQAQLA	6819fe2b-a24b-4c09-a213-dbd50ea4261d	UKPCQAQLA
CJCN9CH43	UL2TY2ERL	dc83c987-a39b-4db5-8482-3b6dea038e78	UL2TY2ERL
CJCN9CH43	UL2TSDLG6	9bfbab8b-0924-4548-a795-2369d6239a26	UL2TSDLG6
CJCN9CH43	UL08YKGLU	ff131874-bf9f-4d3b-a2f9-07de7e0ed377	UL08YKGLU
CJCN9CH43	UKPAM2942	2c80a5f3-f9d9-486d-80a4-380b80194a82	UKPAM2942
CJCN9CH43	UL0P33KEH	17be610c-ae00-4c00-a714-9a586a1f4e6f	UL0P33KEH
CJCN9CH43	UL0NZCCMT	c5ba815f-2940-4adf-86f3-ec5ffd2aec00	UL0NZCCMT
CJCN9CH43	UKU6PP3J5	5c337fee-9d38-4a7e-b165-f78e1442755f	UKU6PP3J5
CJCN9CH43	UL02Y5QAY	25764424-54af-4a39-96bd-30d4f1b998b2	UL02Y5QAY
CJCN9CH43	UKP4HTQ1G	33f8dce4-7ee5-4ff8-a3d4-9087fc64fa0c	UKP4HTQ1G
CJCN9CH43	UL2L9BN06	ba52ef43-619c-475f-8b7e-9422807c3675	UL2L9BN06
CJCN9CH43	UKP483XHR	c23d1fde-a3a6-4408-a5b5-ed0e5a249510	UKP483XHR
CJCN9CH43	UL0E55AC8	1b02ec6b-a7c0-401a-8e0a-a8c977b87a25	UL0E55AC8
CJCN9CH43	UMNDKEJFP	6c14bf05-3c29-4396-b864-c276005edbaa	UMNDKEJFP
CJCN9CH43	UMANCHXH8	07465f46-2fa7-4102-975b-bc7769e6520f	UMANCHXH8
