reply_num	reply_ts	reply_user	talk_id	talk_user
0	1562152895.000500	UKT3G90U8	633ebae5-a0ab-47a7-8a80-de65667f0684	UJRAL005U
0	1564132437.002500	UL0NZCCMT	dc4abf11-9a5b-4b3f-9749-46044d0998c2	UJRAL005U
1	1564133140.005300	UJRAL005U	dc4abf11-9a5b-4b3f-9749-46044d0998c2	UJRAL005U
0	1562981506.007100	UJRAL005U	71a5c086-c221-4e01-af0c-ddbfb179bcdc	UJRAL005U
0	1562981248.005200	UJRAL005U	3497a6f5-b484-490d-9293-8a5450ebdfe0	UL22NNXBP
1	1562982157.008800	UL2TY2ERL	3497a6f5-b484-490d-9293-8a5450ebdfe0	UL22NNXBP
2	1562983053.011200	UL2TSDLG6	3497a6f5-b484-490d-9293-8a5450ebdfe0	UL22NNXBP
3	1562983146.014000	UL22NNXBP	3497a6f5-b484-490d-9293-8a5450ebdfe0	UL22NNXBP
4	1562983370.018100	UL22NNXBP	3497a6f5-b484-490d-9293-8a5450ebdfe0	UL22NNXBP
5	1562984731.021200	UL2TY2ERL	3497a6f5-b484-490d-9293-8a5450ebdfe0	UL22NNXBP
6	1562987000.023800	UL2TY2ERL	3497a6f5-b484-490d-9293-8a5450ebdfe0	UL22NNXBP
7	1562990121.031800	UL2TSDLG6	3497a6f5-b484-490d-9293-8a5450ebdfe0	UL22NNXBP
0	1562926904.042600	UJRAL005U	21068f8f-ada7-482c-8953-6f0293e15e76	UL0NZCCMT
1	1562929803.044800	UL0NZCCMT	21068f8f-ada7-482c-8953-6f0293e15e76	UL0NZCCMT
2	1562932321.052700	UJRAL005U	21068f8f-ada7-482c-8953-6f0293e15e76	UL0NZCCMT
3	1562933087.053500	UL2TY2ERL	21068f8f-ada7-482c-8953-6f0293e15e76	UL0NZCCMT
4	1562933148.055000	UJRAL005U	21068f8f-ada7-482c-8953-6f0293e15e76	UL0NZCCMT
0	1562737634.007100	UJRAL005U	320d0393-8476-415d-931a-369095d5cc9f	UL0NZCCMT
1	1562739095.008100	UJRAL005U	320d0393-8476-415d-931a-369095d5cc9f	UL0NZCCMT
2	1562739543.009300	UL0NZCCMT	320d0393-8476-415d-931a-369095d5cc9f	UL0NZCCMT
3	1562740286.015000	UJRAL005U	320d0393-8476-415d-931a-369095d5cc9f	UL0NZCCMT
4	1562740533.015700	UL0NZCCMT	320d0393-8476-415d-931a-369095d5cc9f	UL0NZCCMT
5	1562740690.016700	UJRAL005U	320d0393-8476-415d-931a-369095d5cc9f	UL0NZCCMT
6	1562740924.016900	UL0NZCCMT	320d0393-8476-415d-931a-369095d5cc9f	UL0NZCCMT
7	1562742098.017500	UJRAL005U	320d0393-8476-415d-931a-369095d5cc9f	UL0NZCCMT
8	1562742110.018000	UJRAL005U	320d0393-8476-415d-931a-369095d5cc9f	UL0NZCCMT
9	1562819070.032400	UL0NZCCMT	320d0393-8476-415d-931a-369095d5cc9f	UL0NZCCMT
0	1562718609.003900	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
1	1562725982.004200	UL0NZCCMT	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
2	1562739281.008400	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
3	1562739291.008900	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
4	1562739417.009100	UL0NZCCMT	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
5	1562740049.011200	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
6	1562761973.019000	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
7	1562762091.020500	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
8	1562762700.020700	UL0NZCCMT	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
9	1562762788.021400	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
10	1562762832.022200	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
11	1562762988.022400	UL0NZCCMT	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
12	1562763849.025600	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
13	1562763851.025900	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
14	1562763865.026600	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
15	1562767418.027100	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
16	1562767462.028500	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
17	1562807376.028700	UL0NZCCMT	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
18	1562808379.031800	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
19	1562816290.032000	UL0NZCCMT	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
20	1562816375.032200	UL0NZCCMT	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
21	1562914053.036400	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
22	1562914095.037300	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
23	1562914117.038100	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
24	1562923471.038400	UL0NZCCMT	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
25	1562926278.038600	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
26	1562926286.039100	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
27	1562928205.044300	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
28	1562929553.044600	UL0NZCCMT	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
29	1562930272.046600	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
30	1562930274.046900	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
31	1562930352.049100	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
32	1562930632.049300	UL0NZCCMT	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
33	1562930664.049900	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
34	1562932232.051000	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
35	1562934941.059400	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
36	1562936478.061400	UJRAL005U	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
37	1562936549.061600	UL0NZCCMT	6aebdfd9-a4a3-4f24-83de-0331498d1fbb	UL0NZCCMT
0	1562023772.007000	UJRAL005U	f9cd7454-06db-4728-a7d0-d819eb9e32e5	UL0NZCCMT
1	1562065032.008300	UL0NZCCMT	f9cd7454-06db-4728-a7d0-d819eb9e32e5	UL0NZCCMT
0	1567062437.013000	UL08YKGLU	8b29a647-4101-43d2-8f2c-f65008093087	UJRAL005U
1	1567062640.013900	UJRAL005U	8b29a647-4101-43d2-8f2c-f65008093087	UJRAL005U
0	1566997186.002900	UJRAL005U	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
1	1566997538.003600	UL2TY2ERL	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
2	1566997931.003800	UKT3G90U8	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
3	1566997978.004700	UL2TY2ERL	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
4	1566997985.005100	UJRAL005U	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
5	1566998004.005800	UJRAL005U	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
6	1566998013.006000	UL2TY2ERL	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
7	1566998063.006300	UL2TY2ERL	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
8	1566998086.006500	UL2TY2ERL	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
9	1566998094.006700	UKT3G90U8	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
10	1566998136.007100	UL2TY2ERL	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
11	1566998142.007400	UJRAL005U	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
12	1566998162.008000	UL2TY2ERL	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
13	1566998162.008200	UJRAL005U	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
14	1566998193.008400	UL2TY2ERL	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
15	1566998239.009000	UJRAL005U	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
16	1566998253.009600	UJRAL005U	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
17	1566998274.009800	UL2TY2ERL	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
18	1566998329.010000	UL2TY2ERL	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
19	1566998413.010600	UJRAL005U	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
20	1566998425.011200	UJRAL005U	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
21	1567047331.011500	ULKPET3UK	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
22	1567047356.011700	UJRAL005U	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
23	1567047432.011900	ULKPET3UK	8786fe84-491c-42f7-9418-4e7cea5f9c9c	UKT3G90U8
0	1570115634.010400	UN0HCK74M	6b78fe50-1086-4eeb-bb80-54eab7a35577	UL0NZCCMT
0	1564142403.028800	UJRAL005U	9f547cb7-b6f4-4c09-b206-cc8182d79be7	UL2TY2ERL
1	1564142645.032800	UJRAL005U	9f547cb7-b6f4-4c09-b206-cc8182d79be7	UL2TY2ERL
2	1564142695.034100	UJRAL005U	9f547cb7-b6f4-4c09-b206-cc8182d79be7	UL2TY2ERL
3	1564142759.035600	UL2TY2ERL	9f547cb7-b6f4-4c09-b206-cc8182d79be7	UL2TY2ERL
4	1564142779.035900	UJRAL005U	9f547cb7-b6f4-4c09-b206-cc8182d79be7	UL2TY2ERL
5	1564142789.036500	UJRAL005U	9f547cb7-b6f4-4c09-b206-cc8182d79be7	UL2TY2ERL
6	1564142927.036700	UL2TY2ERL	9f547cb7-b6f4-4c09-b206-cc8182d79be7	UL2TY2ERL
7	1564144852.041000	UJRAL005U	9f547cb7-b6f4-4c09-b206-cc8182d79be7	UL2TY2ERL
8	1564145204.041200	UL2TY2ERL	9f547cb7-b6f4-4c09-b206-cc8182d79be7	UL2TY2ERL
9	1564145349.044200	UJRAL005U	9f547cb7-b6f4-4c09-b206-cc8182d79be7	UL2TY2ERL
10	1564145515.046900	UJRAL005U	9f547cb7-b6f4-4c09-b206-cc8182d79be7	UL2TY2ERL
11	1564145578.048700	UJRAL005U	9f547cb7-b6f4-4c09-b206-cc8182d79be7	UL2TY2ERL
0	1564005632.010500	UJRAL005U	df434aad-e88c-4809-932f-5c1313b23f1c	UKQHVA4M8
1	1564011726.010700	UKQHVA4M8	df434aad-e88c-4809-932f-5c1313b23f1c	UKQHVA4M8
2	1564011768.011600	UKQHVA4M8	df434aad-e88c-4809-932f-5c1313b23f1c	UKQHVA4M8
3	1564012208.020000	UJRAL005U	df434aad-e88c-4809-932f-5c1313b23f1c	UKQHVA4M8
4	1564012353.020300	UKQHVA4M8	df434aad-e88c-4809-932f-5c1313b23f1c	UKQHVA4M8
5	1564012451.022300	UJRAL005U	df434aad-e88c-4809-932f-5c1313b23f1c	UKQHVA4M8
6	1564012539.024300	UKQHVA4M8	df434aad-e88c-4809-932f-5c1313b23f1c	UKQHVA4M8
7	1564012540.024500	UJRAL005U	df434aad-e88c-4809-932f-5c1313b23f1c	UKQHVA4M8
8	1564016795.026200	UL2TY2ERL	df434aad-e88c-4809-932f-5c1313b23f1c	UKQHVA4M8
0	1563427029.078000	UKU6PP3J5	e1b7f467-dbf8-4cf0-8919-26af62ee5f8f	UJRAL005U
1	1563427136.078200	UKU6PP3J5	e1b7f467-dbf8-4cf0-8919-26af62ee5f8f	UJRAL005U
2	1563427483.078400	UJRAL005U	e1b7f467-dbf8-4cf0-8919-26af62ee5f8f	UJRAL005U
3	1563427516.078800	UJRAL005U	e1b7f467-dbf8-4cf0-8919-26af62ee5f8f	UJRAL005U
4	1563626817.003100	UL08YKGLU	e1b7f467-dbf8-4cf0-8919-26af62ee5f8f	UJRAL005U
0	1563312713.058900	UL2TY2ERL	fe2bbabd-bdca-41e2-be0e-18c645d2a93c	UJRAL005U
1	1563322397.059300	UJRAL005U	fe2bbabd-bdca-41e2-be0e-18c645d2a93c	UJRAL005U
2	1563354859.069300	UJRAL005U	fe2bbabd-bdca-41e2-be0e-18c645d2a93c	UJRAL005U
0	1563280875.035500	UJRAL005U	7f30fa3b-9b27-4f6d-89a9-b16a8fd8c961	UKU6PP3J5
