channel_id	talk_id	talk_user	text	thread_ts	ts
CJCN9CH43	985111e2-489b-472c-86cb-9f1d8f9fc6ef	UKY4VFB5E	<@UKY4VFB5E>さんがチャンネルに参加しました		1561634151.000200
CJCN9CH43	763c4c4b-886f-45e3-b261-fe014e26936f	UKHMYQBEE	<@UKHMYQBEE>さんがチャンネルに参加しました		1561435185.000600
CJCN9CH43	5b168415-0c89-49e8-8baf-1280f0c3f460	UKHMWSMBL	<@UKHMWSMBL>さんがチャンネルに参加しました		1561434928.000400
CJCN9CH43	0a5a64d8-d754-44f6-8492-73cdeb2c77ac	UKX7JQRPY	<@UKX7JQRPY>さんがチャンネルに参加しました		1561429067.000200
CJCN9CH43	8bcba4e2-3c51-43c9-92f9-5fd11a567528	UKTFMFCHJ	<@UKTFMFCHJ>さんがチャンネルに参加しました		1561362357.005500
CJCN9CH43	633ebae5-a0ab-47a7-8a80-de65667f0684	UJRAL005U	"モデリング頑張るより、データの質を良くすることにフォーカスして、AutoMLに突っ込むアプローチの方が優勢になって行きそうだなーという思いが日に日に強くなって行きます。

<https://developers-jp.googleblog.com/2019/06/google-automl-kaggledays-2.html>"	1561361451.005200	1561361451.005200
CJCN9CH43	9ba2a835-86fa-490d-984a-7f6755771661	UJRAL005U	"ユーザー一人一人を意識して見て、それを元に分析するって難しいですよね。

1ユーザーの生ログを眺めて、「こういう心理で動いているのかなぁ？」と思うことはあれど、それを一般化して仮説に落とし込むとサンプルが少なくなりすぎるというのは良く出くわします。。。

<https://note.mu/jyaga0716/n/nb11b6f41573e>"		1561355913.002900
CJCN9CH43	a14fc2c9-fc4c-4675-92cd-967e60c47ef0	UKTRK6EE4	<@UKTRK6EE4>さんがチャンネルに参加しました		1561346975.000200
CJCN9CH43	793f33fc-549d-4453-9de2-05afcc2c3750	UKG6BDAPL	<@UKG6BDAPL>さんがチャンネルに参加しました		1561297560.001200
CJCN9CH43	9fce5b6f-1816-413c-86f7-dab36105af19	UKTGS35PA	<@UKTGS35PA>さんがチャンネルに参加しました		1561285167.000200
CJCN9CH43	57370225-17b9-4309-b0d0-7238f80555cb	UKFPM8H35	<@UKFPM8H35>さんがチャンネルに参加しました		1561196534.001000
CJCN9CH43	3ecde111-17b5-49dc-ab0c-97ea38d168e6	UKT5WSVCY	<@UKT5WSVCY>さんがチャンネルに参加しました		1561195494.000200
CJCN9CH43	e52a19aa-a7bb-492e-84f6-3302ae33c462	UKLQEKEV7	<@UKLQEKEV7>さんがチャンネルに参加しました		1561192060.000200
CJCN9CH43	a975d96a-d29c-4508-ad32-daaf68ac7f18	UKT5BQD3P	<@UKT5BQD3P>さんがチャンネルに参加しました		1561189321.000200
CJCN9CH43	21db65a9-e5a7-4a50-a5b1-1f7d7b40234b	UKFNDDER1	<@UKFNDDER1>さんがチャンネルに参加しました		1561186508.001000
CJCN9CH43	db8e8c9b-e55c-4d51-b7b4-131059b9d568	UKFMDBUV9	<@UKFMDBUV9>さんがチャンネルに参加しました		1561177085.000800
CJCN9CH43	c3a998c4-86e6-4373-a110-680659e35083	UKT3G90U8	<@UKT3G90U8>さんがチャンネルに参加しました		1561173980.000600
CJCN9CH43	a0bdefe0-d2dc-4add-96f1-2f510eb48e78	UKT3NHRM3	<@UKT3NHRM3>さんがチャンネルに参加しました		1561173980.000400
CJCN9CH43	98750772-b438-4a4d-82e8-4bd83e1eb361	UKFLR3VHR	<@UKFLR3VHR>さんがチャンネルに参加しました		1561171452.000200
CJCN9CH43	60119a03-2db8-4dff-88d6-9a1167e3e980	UKEMYD9R8	<@UKEMYD9R8>さんがチャンネルに参加しました		1561105217.000200
CJCN9CH43	520b5189-fe2d-4add-a2a8-acc8f15e3c2b	UKKMSRWJV	<@UKKMSRWJV>さんがチャンネルに参加しました		1561099688.000200
CJCN9CH43	d7809cf6-7eba-4b2c-9008-c7cb062a958f	UKPRX1CCW	<@UKPRX1CCW>さんがチャンネルに参加しました		1560798683.000200
CJCN9CH43	61083130-f207-4422-952c-798e2fc811ff	UJRAL005U	"確かに、VRだと無限にディスプレイとか画面配置できるので、上手いこと活用すると、生産性とかかなり上がる方法ありそうですよね！

モニター10個くらい同時に起動して、視線を当ててるモニタが有効かされるとかできそうですし。"	1564132241.002300	1564133140.005300
CJCN9CH43	1b8b7fef-81b7-4697-92e0-1c6439a9d571	UL0NZCCMT	GUIでのプログラミングだったり、データ分析も気になってます。特に、VR上でのインプットってキーボードみたいなものが難しく、それならこういったビジュアルプログラミングの方が合うよな～と考えてます。	1564132241.002300	1564132437.002500
